COUNTRY,COUNTRY_GRP,SEX,YEAR,VALUE
BEL,,ALL,2004,35429.41
BEL,,ALL,2005,36809.7
BEL,,ALL,2006,38705.11
BEL,,ALL,2007,44319.17
BEL,,ALL,2008,48303.4
BEL,,ALL,2009,44760.29
BEL,,ALL,2010,44184.95
BEL,,ALL,2011,47410.57
BEL,,ALL,2012,44670.56
BEL,,ALL,2013,46757.95
BEL,,ALL,2014,47764.07
BEL,,ALL,2015,41008.3
BEL,,ALL,2016,42012.62
BEL,,ALL,2017,44198.48
BEL,,ALL,2018,47549.21
BEL,,ALL,2019,46599.11
BEL,,ALL,2020,45189.37
BEL,,ALL,2021,51767.79
BGR,,ALL,1980,2238.8
BGR,,ALL,1981,2234.81
BGR,,ALL,1982,2169
BGR,,ALL,1983,1852.81
BGR,,ALL,1984,1963.57
BGR,,ALL,1985,1914.55
BGR,,ALL,1986,2260.43
BGR,,ALL,1987,3132.3
BGR,,ALL,1988,2511.39
BGR,,ALL,1989,2477.02
BGR,,ALL,1990,2366.53
BGR,,ALL,1991,1267.73
BGR,,ALL,1992,1211.98
BGR,,ALL,1993,1278.25
BGR,,ALL,1994,1148.49
BGR,,ALL,1995,2258.29
BGR,,ALL,1996,1470.1
BGR,,ALL,1997,1361.39
BGR,,ALL,1998,1820.41
BGR,,ALL,1999,1659.72
BGR,,ALL,2000,1621.24
BGR,,ALL,2001,1770.91
BGR,,ALL,2002,2092.96
BGR,,ALL,2003,2719.5
BGR,,ALL,2004,3389.71
BGR,,ALL,2005,3899.91
BGR,,ALL,2006,4523.05
BGR,,ALL,2007,5885.1
BGR,,ALL,2008,7265.74
BGR,,ALL,2009,6988.23
BGR,,ALL,2010,6853
BGR,,ALL,2011,7849.17
BGR,,ALL,2012,7432.48
BGR,,ALL,2013,7681.93
BGR,,ALL,2014,7901.79
BGR,,ALL,2015,7074.68
BGR,,ALL,2016,7569.48
BGR,,ALL,2017,8366.29
BGR,,ALL,2018,9446.7
BGR,,ALL,2019,9879.27
BGR,,ALL,2020,10079.2
BGR,,ALL,2021,11634.97
BIH,,ALL,1994,319.01
BIH,,ALL,1995,487.48
BIH,,ALL,1996,740.1
BIH,,ALL,1997,982.8
BIH,,ALL,1998,1102.39
BIH,,ALL,1999,1251.75
BIH,,ALL,2000,1484.18
BIH,,ALL,2001,1544.6
BIH,,ALL,2002,1789.86
BIH,,ALL,2003,2258.95
BIH,,ALL,2004,2698.47
BIH,,ALL,2005,2980.6
BIH,,ALL,2006,3416.51
BIH,,ALL,2007,4193.37
BIH,,ALL,2008,5090.95
BIH,,ALL,2009,4714.69
BIH,,ALL,2010,4635.51
BIH,,ALL,2011,5092.55
BIH,,ALL,2012,4777.07
BIH,,ALL,2013,5129.66
BIH,,ALL,2014,5330.36
BIH,,ALL,2015,4729.69
BIH,,ALL,2016,4994.97
BIH,,ALL,2017,5394.27
BIH,,ALL,2018,6070.35
BIH,,ALL,2019,6119.76
BIH,,ALL,2020,6082.37
BIH,,ALL,2021,6916.44
BLR,,ALL,1990,2124.77
BLR,,ALL,1991,1765.74
BLR,,ALL,1992,1667.61
BLR,,ALL,1993,1590.09
BLR,,ALL,1994,1460.07
BLR,,ALL,1995,1370.7
BLR,,ALL,1996,1452.51
BLR,,ALL,1997,1396.44
BLR,,ALL,1998,1511.33
BLR,,ALL,1999,1210.61
BLR,,ALL,2000,1276.29
BLR,,ALL,2001,1244.37
BLR,,ALL,2002,1479.31
BLR,,ALL,2003,1819.77
BLR,,ALL,2004,2378.62
BLR,,ALL,2005,3125.81
BLR,,ALL,2006,3847.43
BLR,,ALL,2007,4735.66
BLR,,ALL,2008,6377.37
BLR,,ALL,2009,5352.58
BLR,,ALL,2010,6033.69
BLR,,ALL,2011,6527.17
BLR,,ALL,2012,6953.13
BLR,,ALL,2013,7998.13
BLR,,ALL,2014,8341.4
BLR,,ALL,2015,5967.05
BLR,,ALL,2016,5039.68
BLR,,ALL,2017,5785.67
BLR,,ALL,2018,6360.06
BLR,,ALL,2019,6837.72
