COUNTRY,COUNTRY_GRP,SEX,YEAR,VALUE
DNK,,ALL,2005,2743.79
DNK,,ALL,2006,3034.72
DNK,,ALL,2007,3185.82
DNK,,ALL,2008,3445.47
DNK,,ALL,2009,3762.63
DNK,,ALL,2010,3868.9
DNK,,ALL,2011,3931.01
DNK,,ALL,2012,4020.98
DNK,,ALL,2013,4143.83
DNK,,ALL,2014,4053.47
ESP,,ALL,1995,860.87
ESP,,ALL,1996,903.69
ESP,,ALL,1997,941.21
ESP,,ALL,1998,999.84
ESP,,ALL,1999,1047.97
ESP,,ALL,2000,1107.71
ESP,,ALL,2001,1172.14
ESP,,ALL,2002,1252.53
ESP,,ALL,2003,1426.5
ESP,,ALL,2004,1510.63
ESP,,ALL,2005,1613.3
ESP,,ALL,2006,1829.17
ESP,,ALL,2007,1968.91
ESP,,ALL,2008,2154.24
ESP,,ALL,2009,2301.02
ESP,,ALL,2010,2249.2
ESP,,ALL,2011,2229.82
ESP,,ALL,2012,2150.14
ESP,,ALL,2013,2093.34
ESP,,ALL,2014,2102.04
EST,,ALL,1995,356.31
EST,,ALL,1996,400.61
EST,,ALL,1997,438.88
EST,,ALL,1998,403.6
EST,,ALL,1999,397.1
EST,,ALL,2000,394.34
EST,,ALL,2001,401.35
EST,,ALL,2002,440.19
EST,,ALL,2003,498.97
EST,,ALL,2004,566.37
EST,,ALL,2005,631.94
EST,,ALL,2006,701.16
EST,,ALL,2007,841.53
EST,,ALL,2008,1042.17
EST,,ALL,2009,1041.2
EST,,ALL,2010,1025.14
EST,,ALL,2011,1075.6
EST,,ALL,2012,1250.56
EST,,ALL,2013,1316.08
EST,,ALL,2014,1315.03
,EU_AFTER_MAY2004,ALL,1995,349.63
,EU_AFTER_MAY2004,ALL,1996,373.03
,EU_AFTER_MAY2004,ALL,1997,387.94
,EU_AFTER_MAY2004,ALL,1998,396.14
,EU_AFTER_MAY2004,ALL,1999,426.14
,EU_AFTER_MAY2004,ALL,2000,443.6
,EU_AFTER_MAY2004,ALL,2001,492.54
